"22648","22648","411"
"83118","83118","1872"
"3470","3470","2010"
"1059","1059","Krazy Krow"
"1061","1061","Nellie the Nurse"
"1062","1062","Patsy Walker"
"1199","1199","Kid Colt Outlaw"
"1269","1269","Little Aspirin"
"1271","1271","Little Lenny"
"1276","1276","Love Romances"
"1496","1496","Girl Confessions"
"1576","1576","Little Lizzie"
"1583","1583","Two-Gun Kid"
"1704","1704","Gunsmoke Western"
"1849","1849","Marines At War"
"2006","2006","Kathy"
"2024","2024","Teen-Age Romance"
"2043","2043","Amazing Adult Fantasy"
"2046","2046","Linda Carter, Student Nurse"
"2079","2079","Strange Tales Annual"
"2128","2128","The Avengers"
"2132","2132","Sgt. Fury and His Howling Commandos"
"2133","2133","The X-Men"
"2189","2189","The Amazing Spider-Man Annual"
"2237","2237","Sgt. Fury Annual"
"2293","2293","Marvel Tales"
"2350","2350","The Avengers Annual"
"2402","2402","Captain Savage"
"2404","2404","Groovy"
"2409","2409","The Mighty Marvel Western"
"2411","2411","The Silver Surfer"
"2441","2441","Chamber of Darkness"
"2442","2442","Chili"
"2443","2443","Homer, The Happy Ghost"
"2444","2444","Mad About Millie"
"2445","2445","My Love"
"2446","2446","Our Love Story"
"2447","2447","Peter, the Little Pest"
"2448","2448","Tower of Shadows"
"2471","2471","Conan the Barbarian"
"2472","2472","Adventure into Fear"
"2473","2473","Harvey"
"2476","2476","The Outlaw Kid"
"2477","2477","Ringo Kid"
"2478","2478","Spoof"
"2479","2479","Western Gunfighters"
"2480","2480","Where Creatures Roam"
"2510","2510","Captain America Annual"
"2512","2512","Creatures on the Loose"
"2521","2521","Sub-Mariner Annual"
"2523","2523","Western Kid"
"2565","2565","The Cat"
"2566","2566","Chamber of Chills"
"2568","2568","Combat Kelly and the Deadly Dozen"
"2570","2570","Doc Savage"
"2571","2571","The Gunhawks"
"2572","2572","Hero for Hire"
"2574","2574","Jungle Action"
"2575","2575","Marvel Premiere"
"2580","2580","Shanna the She-Devil"
"2581","2581","Supernatural Thrillers"
"2601","2601","Anita Blake, Vampire Hunter: The Laughing Corpse - Necromancer"
"2629","2629","Beware!"
"2630","2630","Conan the Barbarian Annual"
"2631","2631","Crazy"
"2632","2632","Crypt of Shadows"
"2633","2633","Dead of Night"
"2635","2635","The Frankenstein Monster"
"2638","2638","Kull the Destroyer"
"2639","2639","Marvel Double Feature"
"2640","2640","Marvel Spectacular"
"2642","2642","SHIELD"
"2646","2646","Uncanny Tales"
"2648","2648","Vault of Evil"
"2649","2649","War is Hell"
"2650","2650","Weird Wonder Tales"
"2652","2652","Worlds Unknown"
"2679","2679","Giant-Size Conan"
"2681","2681","Giant-Size Defenders"
"2682","2682","Giant-Size Dracula"
"2683","2683","Giant-Size Fantastic Four"
"2684","2684","Giant-Size Man-Thing"
"2685","2685","Giant-Size Master of Kung Fu"
"2689","2689","Giant-Size Werewolf"
"2691","2691","The Human Torch"
"2696","2696","Marvel Two-in-One"
"2700","2700","Power Man"
"2701","2701","The Savage Sword of Conan"
"2702","2702","Spidey Super Stories"
"2703","2703","Tomb of Darkness"
"2745","2745","Adventures on the Planet of the Apes"
"2746","2746","The Champions"
"2751","2751","Giant-Size Chillers"
"2758","2758","Giant-Size Kid Colt"
"2759","2759","Giant-Size Marvel Triple Action"
"2761","2761","Giant-Size Super-Villain Team-Up"
"2763","2763","Giant-Size X-Men"
"2764","2764","The Inhumans"
"2770","2770","Marvel Chillers"
"2773","2773","Marvel Presents"
"2780","2780","Skull the Slayer"
"2781","2781","Son of Satan"
"2782","2782","Super-Villain Team-Up"
"2855","2855","Black Goliath"
"2858","2858","The Eternals"
"2860","2860","The Incredible Hulk Annual"
"2861","2861","Marvel Adventure"
"2863","2863","Marvel Team-Up Annual"
"2865","2865","Marvel Two-in-One Annual"
"2870","2870","The Spectacular Spider-Man"
"2898","2898","Dynomutt"
"2900","2900","The Flintstones"
"2901","2901","Godzilla"
"2903","2903","The Human Fly"
"2907","2907","John Carter Warlord of Mars"
"2908","2908","John Carter Warlord of Mars Annual"
"2913","2913","Scooby-Doo"
"2916","2916","Tarzan"
"2917","2917","Tarzan Annual"
"2918","2918","What If?"
"2919","2919","Yogi Bear"
"2953","2953","Devil Dinosaur"
"2955","2955","Laff-A-Lympics"
"2958","2958","Man from Atlantis"
"2961","2961","Hanna-Barbera Spotlight"
"2962","2962","TV Stars"
"3002","3002","Battlestar Galactica"
"3004","3004","Fun and Games Magazine"
"3008","3008","Micronauts"
"3009","3009","Micronauts Annual"
"3010","3010","Rom"
"3011","3011","Shogun Warriors"
"3012","3012","The Spectacular Spider-Man Annual"
"3015","3015","The Tomb of Dracula"
"3049","3049","Epic Illustrated"
"3051","3051","King Conan"
"3053","3053","The Savage She-Hulk"
"3054","3054","Star Trek"
"3082","3082","Bizarre Adventures"
"3085","3085","Dragonslayer"
"3086","3086","James Bond For Your Eyes Only"
"3087","3087","Ka-Zar the Savage"
"3089","3089","Raiders of the Lost Ark"
"3092","3092","The Uncanny X-Men"
"3131","3131","Annie"
"3133","3133","Blade Runner"
"3134","3134","Conan the Barbarian Movie Special"
"3138","3138","G.I. Joe: A Real American Hero"
"3144","3144","Marvel Graphic Novel"
"3145","3145","Marvel Movie Showcase"
"3148","3148","Rom Annual"
"3150","3150","Smurfs"
"3152","3152","Team America"
"3154","3154","The Very Best of Dennis the Menace"
"3155","3155","Vision and the Scarlet Witch"
"3218","3218","Blip"
"3221","3221","The Dark Crystal"
"3223","3223","The Falcon"
"3224","3224","The Further Adventures of Indiana Jones"
"3227","3227","The Kree-Skrull War Starring the Avengers"
"3228","3228","Krull"
"3234","3234","The New Mutants"
"3239","3239","The Saga of Crystar, Crystal Warrior"
"3246","3246","U.S. 1"
"3247","3247","X-Men Classics Starring the X-Men"
"3330","3330","The A-Team"
"3332","3332","Amazing High Adventure"
"3333","3333","Beauty and the Beast"
"3334","3334","Buckaroo Banzai"
"3336","3336","Conan the King"
"3338","3338","Doctor Strange Classics"
"3339","3339","Doctor Who"
"3340","3340","Elektra Saga"
"3342","3342","G.I. Joe Yearbook"
"3346","3346","Indiana Jones and the Temple of Doom"
"3347","3347","Jack of Hearts"
"3348","3348","Kitty Pryde and Wolverine"
"3349","3349","The Last Starfighter"
"3352","3352","Marvel Super Heroes Secret Wars"
"3353","3353","Micronauts: The New Voyages"
"3356","3356","The New Mutants Annual"
"3359","3359","Prince Namor, the Sub-Mariner"
"3360","3360","Questprobe"
"3361","3361","Sheena"
"3366","3366","Starriors"
"3368","3368","Tarzan of the Apes"
"3370","3370","The Transformers"
"3373","3373","The X-Men and The Micronauts"
"3471","3471","Balder the Brave"
"3476","3476","Conan the Destroyer"
"3478","3478","Dune"
"3483","3483","Gargoyle"
"3488","3488","The Life Of Captain Marvel"
"3490","3490","The Marvel Saga The Official History of the Marvel Universe"
"3492","3492","Moon Knight: Fist of Khonshu"
"3501","3501","Rawhide Kid"
"3505","3505","Savage Tales"
"3507","3507","Sectaurs"
"3510","3510","The Sword of Solomon Kane"
"3517","3517","The Vision and the Scarlet Witch"
"3520","3520","Web of Spider-Man Annual"
"3623","3623","Alpha Flight Annual"
"3626","3626","Classic X-Men"
"3627","3627","D.P.7"
"3632","3632","G.I. Joe and the Transformers"
"3634","3634","The G.I. Joe Order of Battle"
"3637","3637","Howard the Duck: The Movie"
"3640","3640","Justice"
"3641","3641","Kickers, Inc."
"3642","3642","Labyrinth"
"3644","3644","Mark Hazzard: Merc"
"3647","3647","Nightmask"
"3651","3651","Spitfire and the Troubleshooters"
"3652","3652","Star Brand"
"3655","3655","Transformers: The Movie"
"3656","3656","West Coast Avengers Annual"
"3658","3658","X-Factor Annual"
"3835","3835","Codename: Spitfire"
"3836","3836","Comet Man"
"3837","3837","Conan Saga"
"3842","3842","Fallen Angels"
"3843","3843","Fantastic Four vs. X-Men"
"3851","3851","Marvel Masterworks"
